url,title,genre,views,rating
https://www.webtoons.com/en/drama/ghost-on-the-roof/list?title_no=2872,Ghost on the Roof,Drama,1M,9.51
https://www.webtoons.com/en/fantasy/mage-again/list?title_no=3476,Mage Again,Fantasy,2.2M,9.71
https://www.webtoons.com/en/drama/moonlight-beauty-parlor/list?title_no=3092,Moonlight Beauty Parlor,Drama,3.7M,9.66
https://www.webtoons.com/en/slice-of-life/a-deadbeats-meal/list?title_no=3910,A DeadbEAT's Meal,Slice of life,1.4M,9.17
https://www.webtoons.com/en/drama/whos-mr-president/list?title_no=4117,Who's Mr. President?,Drama,"695,362",9.83
https://www.webtoons.com/en/drama/our-time/list?title_no=3600,Our Time,Drama,2M,9.7
https://www.webtoons.com/en/drama/fluidum/list?title_no=2283,Fluidum,Drama,10.1M,9.02
https://www.webtoons.com/en/drama/write-to-your-heart/list?title_no=4161,Write to Your Heart!,Drama,"741,515",9.16
https://www.webtoons.com/en/drama/random-chat/list?title_no=1669,Random Chat,Drama,25.7M,9.61
https://www.webtoons.com/en/drama/the-nuna-at-our-office/list?title_no=3089,The Nuna at Our Office,Drama,4.9M,9.5
https://www.webtoons.com/en/drama/take-me-im-yours/list?title_no=2833,"Take Me, I'm Yours",Drama,4.9M,9.56
https://www.webtoons.com/en/fantasy/lone/list?title_no=1929,Lone,Fantasy,14.8M,9.71
https://www.webtoons.com/en/fantasy/four-leaf/list?title_no=1454,Four Leaf,Fantasy,13.2M,9.72
https://www.webtoons.com/en/drama/loser-coin/list?title_no=4177,Loser Coin,Drama,"894,755",8.2
https://www.webtoons.com/en/fantasy/the-spark-in-your-eyes/list?title_no=3210,The Spark in Your Eyes,Fantasy,4.7M,9.7
https://www.webtoons.com/en/fantasy/woven/list?title_no=2744,Woven,Fantasy,1.3M,9.73
https://www.webtoons.com/en/drama/daytime-star/list?title_no=3908,Daytime Star,Drama,2M,9.75
https://www.webtoons.com/en/comedy/bad-signs/list?title_no=1623,Bad Signs,Comedy,13.9M,9.55
https://www.webtoons.com/en/drama/pyramid-game/list?title_no=2277,Pyramid Game,Drama,8.9M,9.61
https://www.webtoons.com/en/romance/the-girl-downstairs/list?title_no=1809,The Girl Downstairs,Romance,36.5M,9.51
https://www.webtoons.com/en/drama/blessed/list?title_no=1193,#Blessed,Drama,20.9M,9.18
https://www.webtoons.com/en/romance/muerte-no-escrita/list?title_no=3201,Unwritten Death,Romance,6.1M,9.64
https://www.webtoons.com/en/mystery/senorita-cometa/list?title_no=3387,Señorita Cometa,Mystery,1.3M,9.62
https://www.webtoons.com/en/drama/heirs-game/list?title_no=1445,Heir's Game,Drama,30.4M,9.73
https://www.webtoons.com/en/romance/cierra/list?title_no=3670,Cierra,Romance,4.5M,9.56
https://www.webtoons.com/en/drama/mistake/list?title_no=4118,Mistake,Drama,1.1M,8
https://www.webtoons.com/en/romance/the-fox-club/list?title_no=4079,The Fox Club,Romance,1.9M,9.18
https://www.webtoons.com/en/drama/to-not-die/list?title_no=3787,To Not Die,Drama,2.7M,9.67
https://www.webtoons.com/en/supernatural/flawed-almighty/list?title_no=3577,Flawed Almighty,Supernatural,7.1M,9.57
https://www.webtoons.com/en/romance/our-secret-alliance/list?title_no=4178,Our Secret Alliance,Romance,1.2M,9.6
https://www.webtoons.com/en/fantasy/the-croaking/list?title_no=1494,The Croaking,Fantasy,50.2M,9.78
https://www.webtoons.com/en/sf/space-boy/list?title_no=400,Space Boy,Sci-fi,75.3M,9.84
https://www.webtoons.com/en/drama/seven-years-later/list?title_no=3647,Seven Years Later,Drama,1.3M,9.64
https://www.webtoons.com/en/drama/the-tax-reaper/list?title_no=4115,The Tax Reaper,Drama,2.5M,9.11
